date,predicted_passengers,confidence_lower,confidence_upper
1961-01-01,447.22261975027504,424.0076310675119,470.4376084330382
1961-02-01,422.73409841805517,394.7714185002931,450.6967783358172
1961-03-01,457.70089471583725,424.7978990189644,490.6038904127101
1961-04-01,492.27750500386395,455.27083254662114,529.2841774611068
1961-05-01,505.56336565027283,464.8260937335826,546.300637566963
1961-06-01,565.6717819110411,521.5261979797777,609.8173658423044
1961-07-01,651.9864039986128,604.6756630796808,699.2971449175448
1961-08-01,639.6342423635397,589.3575917870148,689.9108929400645
1961-09-01,543.058845016464,489.98167696983654,596.1360130630916
1961-10-01,493.7270254380378,437.98989308527723,549.4641577907984
1961-11-01,426.93800093778725,368.66218655412837,485.21381532144613
1961-12-01,470.13560852719485,409.4271819727529,530.8440350816368
1962-01-01,483.70043145487426,412.7383825517276,554.662480358021
1962-02-01,458.3632424790734,381.21824791711794,535.5082370410288
1962-03-01,489.5314957519403,406.10803269831246,572.9549588055681
1962-04-01,528.1600922634178,439.01990351718945,617.3002810096461
1962-05-01,540.19814126141,445.66020507665473,634.7360774461653
1962-06-01,601.885316790478,502.2473168990799,701.523316681876
1962-07-01,688.5741749055366,584.083494681329,793.0648551297442
1962-08-01,674.2302651046105,565.1027554454394,783.3577747637815
1962-09-01,576.8770257484882,463.30177187776485,690.4522796192116
1962-10-01,528.8183954410499,410.96314505377416,646.6736458283257
1962-11-01,459.73014953224606,337.7449761478219,581.7153229166702
1962-12-01,502.27385516963443,376.2940756818667,628.2536346574021
